combination_id,source_category,source_label,scope_urls,include_offline,data_sensitivity,persistence,transitive_exposure,scope_count,cross_service_breadth,has_restricted_scope,risk_label
SC-0000,Student Created,Offline access to actively monitor fitness activity and have access to body metrics and full access to Google Sheets,openid; profile; email; https://www.googleapis.com/auth/fitness.activity.read; https://www.googleapis.com/auth/fitness.body.read; https://www.googleapis.com/auth/spreadsheets; ,1,4,1,0,6,3,0,high
SC-0001,Student Created,"Full online access to YouTube account, including uploading and managing videos. Also includes access to Google Drive files you use with this application.",openid; profile; email; https://www.googleapis.com/auth/youtube; https://www.googleapis.com/auth/drive.file; ,0,4,0,0,5,3,0,high
SC-0002,Student Created,"Authentication, email adress, personalization data and manage and send drafts as well as read only access to contacts while online.",openid; profile; email; https://www.googleapis.com/auth/contacts.readonly; https://www.googleapis.com/auth/gmail.compose; ,0,5,0,1,5,3,0,high
SC-0003,Student Created,"Authentication, email adress, personalization data and full offline read/write access to all files in cloud storage and files in drive that you use with this app.",openid; profile; email; https://www.googleapis.com/auth/devstorage.read_write; https://www.googleapis.com/auth/drive.file; ,1,4,1,0,5,3,0,high
SC-0004,Student Created,"Authentication, email adress, personalization data and full access to photos and cloud storage while online.",openid; profile; email; https://www.googleapis.com/auth/photoslibrary; ,0,4,0,0,4,2,0,high
SC-0005,Student Created,"Authentication, email adress, personalization data and see, edit, and create Google Docs and Google Presentations while online.",openid; profile; email; https://www.googleapis.com/auth/presentations; https://www.googleapis.com/auth/documents; ,0,4,0,0,5,3,0,high
SC-0006,Student Created,"Authentication, email adress, personalization data and online access to read all Google Tasks and all Google Calendar events.",openid; profile; email; https://www.googleapis.com/auth/tasks.readonly; https://www.googleapis.com/auth/calendar.events.readonly; ,0,3,0,0,5,3,0,medium
SC-0007,Student Created,"Authentication, email adress, personalization data and online access to managing Firebase and Google Compute Engine resources ",openid; profile; email; https://www.googleapis.com/auth/firebase; https://www.googleapis.com/auth/compute; ,0,3,0,0,5,3,0,high
SC-0008,Student Created,Online authentication with read only access to AdSense revenue data and YouTube channel analytics.,openid; profile; email; https://www.googleapis.com/auth/adsense.readonly; https://www.googleapis.com/auth/youtube.readonly; ,0,3,0,0,5,3,0,medium
SC-0009,Student Created,"Online access to composing, seeing, sending, updating, and deleting messages in Google Chat as well as read only access to contacts.",openid; profile; email; https://www.googleapis.com/auth/chat.messages; https://www.googleapis.com/auth/contacts.readonly; ,0,4,0,1,5,3,0,high
